keyword,deals_with_funding,total_funding_chf,avg_funding_chf,median_funding_chf,pct_of_total_funding,avg_deal_size
BioTech,285,21928.0,77.0,10.0,57.0,Small (<2M)
FinTech,290,10010.0,35.0,4.0,26.0,Small (<2M)
ClimateTech,97,2824.0,29.0,5.0,7.3,Small (<2M)
HealthTech,28,1042.0,37.0,4.0,2.7,Small (<2M)
MedTech,42,834.0,20.0,4.0,2.2,Small (<2M)
Robotics,15,640.0,43.0,5.0,1.7,Small (<2M)
GenAI,30,467.0,16.0,4.0,1.2,Small (<2M)
Ecommerce,7,287.0,41.0,2.0,0.7,Small (<2M)
PropTech,6,217.0,36.0,1.0,0.6,Small (<2M)
Enterprise,10,169.0,17.0,2.0,0.4,Small (<2M)
AgriTech,9,46.0,5.0,5.0,0.1,Small (<2M)
EdTech,3,11.0,4.0,1.0,0.0,Small (<2M)
SpaceTech,2,8.0,4.0,4.0,0.0,Small (<2M)
Cybersecurity,3,4.0,1.0,1.0,0.0,Small (<2M)
