keyword,2023,2024,2025,2026,funding_change_pp,deal_share_change,signal
BioTech,52.0,54.8,58.2,72.5,6.2,3.2,Grosse Deals ↑
HealthTech,0.2,0.9,6.3,0.3,6.1,-0.2,Grosse Deals ↑
Robotics,0.1,0.4,4.0,0.0,3.9,3.1,Gleichmässig
GenAI,0.1,0.4,2.4,1.9,2.3,2.3,Gleichmässig
PropTech,0.0,0.0,1.5,0.0,1.5,0.4,Gleichmässig
AgriTech,0.0,0.1,0.2,0.0,0.2,0.4,Gleichmässig
EdTech,0.0,0.0,0.1,0.0,0.1,-0.6,Gleichmässig
Cybersecurity,0.0,0.0,0.0,0.0,0.0,-0.3,Gleichmässig
Ecommerce,0.0,1.1,0.0,5.1,0.0,0.4,Gleichmässig
SpaceTech,0.1,0.0,0.0,0.0,-0.1,-0.8,Gleichmässig
MedTech,1.8,2.9,1.4,4.5,-0.4,1.5,Gleichmässig
Enterprise,0.6,0.2,0.0,2.3,-0.6,-1.8,Gleichmässig
FinTech,26.4,36.4,22.5,10.1,-3.9,-0.7,Viele Deals ↑
ClimateTech,18.6,2.8,3.4,3.4,-15.2,-7.1,Viele Deals ↑
