Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Name,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage
Startup & News,,,,,,,,,,Switzerland,,,,,
Valuation Insights,,,,,,,,,,Switzerland,,,,,
Templates Collection,,,,,,,,,,Switzerland,,,,,
Legal Insights,,,,,,,,,,Switzerland,,,,,
Give Your Feedback,,,,,,,,,,Switzerland,,,,,
Start Here,,,,,,,,,,Switzerland,,,,,
Start Here,,,,,,,,,,Switzerland,,,,,
Feature your Jobs/Company,,,,,,,,,,Switzerland,,,,,
STARTUPS ROMANDIE,,,,,,,,,,Switzerland,,,,,
Spotlight,,,,,,,,,,Switzerland,,,,,
Spotlight,,,,,,,,,,Switzerland,,,,,
1,,,,,,,,,,Switzerland,,,,,
Senior Business Developer Silicon Photonics,,,,,,,,,,Switzerland,,,,,
Senior Business Developer Silicon Photonics,,,,,,,,,,Switzerland,,,,,
qCella,,,,,,,,,,Switzerland,,,,,
SAEKI,,,,,,,,,,Switzerland,,,,,
