keyword,share_2023,share_2025,share_change_pct,momentum_pct,classification
GenAI,1.8,4.1,2.3,168.4,Emerging  🌱
Robotics,1.0,4.1,3.1,109.1,Emerging  🌱
MedTech,3.5,5.0,1.5,8.3,Growing   ↑
BioTech,27.7,30.9,3.2,-1.8,Growing   ↑
Ecommerce,1.3,1.7,0.4,23.1,Stable    →
PropTech,1.3,1.7,0.4,23.1,Stable    →
AgriTech,0.8,1.2,0.4,0.0,Stable    →
Cybersecurity,0.8,0.5,-0.3,-33.3,Stable    →
HealthTech,4.3,4.1,-0.2,-39.5,Stable    →
FinTech,36.8,36.1,-0.7,-12.3,Slowing   ↓
Enterprise,2.5,0.7,-1.8,-26.9,Slowing   ↓
ClimateTech,16.9,9.8,-7.1,-47.3,Slowing   ↓
EdTech,0.8,0.2,-0.6,-66.7,Slowing   ↓
SpaceTech,0.8,0.0,-0.8,-88.9,Slowing   ↓
