keyword,total_deals_2023_2026,deals_2023,deals_2025,growth_2023_2025,classification,momentum_pct,market_share_2025
GenAI,44,7,17,10,Emerging  🌱,168.4,4.1
Robotics,28,4,17,13,Emerging  🌱,109.1,4.1
BioTech,414,110,129,19,Growing   ↑,-1.8,30.9
MedTech,65,14,21,7,Growing   ↑,8.3,5.0
ClimateTech,169,67,41,-26,Slowing   ↓,-47.3,9.8
EdTech,6,3,1,-2,Slowing   ↓,-66.7,0.2
Enterprise,29,10,3,-7,Slowing   ↓,-26.9,0.7
FinTech,466,146,151,5,Slowing   ↓,-12.3,36.1
SpaceTech,4,3,0,-3,Slowing   ↓,-88.9,0.0
AgriTech,14,3,5,2,Stable    →,0.0,1.2
Cybersecurity,6,3,2,-1,Stable    →,-33.3,0.5
Ecommerce,19,5,7,2,Stable    →,23.1,1.7
HealthTech,48,17,17,0,Stable    →,-39.5,4.1
PropTech,15,5,7,2,Stable    →,23.1,1.7
